# index, male, _pos
454,0,"array([10.93567604, -7.47791937])"
455,1,"array([30.00857113, -6.71990574])"
456,0,"array([33.44942373, -4.88718777])"
457,0,"array([11.5111177 , -6.47985731])"
458,0,"array([ 2.77846754, -5.83539018])"
459,1,"array([41.27998772, -3.53092932])"
460,1,"array([142.76347499,   0.39124026])"
461,0,"array([142.11239964,  -0.23724919])"
462,0,"array([ 5.97315521, -0.67980695])"
463,0,"array([16.46606272,  2.53727621])"
464,1,"array([ 9.70122264, -7.39244957])"
465,0,"array([ 7.91125142, -9.9631351 ])"
466,1,"array([ 31.01244462, -13.55988725])"
467,0,"array([13.25318678, -1.69457387])"
468,0,"array([8.24740106, 0.86435443])"
469,0,"array([ 32.96007287, -22.25583289])"
470,0,"array([ 9.94080773, -2.42872202])"
471,0,"array([13.39126823, -5.38558069])"
472,0,"array([ 7.02087195, -6.41431857])"
473,1,"array([20.8991789 , -4.21630895])"
474,0,"array([8.19552507, 3.50575981])"
475,0,"array([15.05730122, -3.41808873])"
476,1,"array([12.4953244 ,  0.22476235])"
477,0,"array([11.73543639,  6.15856031])"
478,0,"array([5.13986804, 5.85142253])"
479,1,"array([  9.6984144 , -17.67928632])"
480,0,"array([  7.64052277, -26.48601355])"
481,0,"array([ 8.05500273, 10.30911023])"
482,1,"array([ 8.07236696, -2.03850512])"
483,0,"array([14.7917737 ,  5.32440272])"
484,0,"array([11.45013386, -7.51504932])"
485,0,"array([18.53359541, -6.26562531])"
486,0,"array([11.22267535,  3.5346372 ])"
487,1,"array([38.6879617,  9.1341498])"
488,0,"array([35.75133046, 13.97264764])"
489,0,"array([16.0806383 , -4.67161465])"
490,0,"array([3.25170211, 0.8744332 ])"
491,0,"array([6.10305903, 5.89327441])"
492,0,"array([7.94641574, 2.80428875])"
493,1,"array([8.31787766, 4.6144014 ])"
494,0,"array([14.27448967, -1.81145359])"
495,0,"array([  8.15382508, -22.07892122])"
496,0,"array([  7.94691025, -22.45254544])"
497,1,"array([ 21.49621683, -21.28080041])"
498,0,"array([ 22.49011652, -25.79252976])"
499,0,"array([13.81215426, -7.38181696])"
500,0,"array([ 9.7442731 , -1.25716732])"
501,0,"array([ 0.11185958, -3.50570581])"
502,1,"array([ 9.62095983, -1.06878504])"
503,0,"array([5.9521932 , 1.53689975])"
504,1,"array([44.14459392,  9.54579012])"
505,0,"array([8.00637628, 2.28700424])"
506,0,"array([11.24739334, -1.00121002])"
507,1,"array([ 9.72927866, 11.47874069])"
508,0,"array([ 5.80046687, 11.42990216])"
509,0,"array([  5.55848092, -14.91449479])"
510,0,"array([10.02340593, 14.05209427])"
511,1,"array([32.11734026, -6.71414883])"
512,0,"array([ 6.87493372, -6.56217799])"
513,1,"array([ 11.43466946, -14.18961117])"
514,0,"array([ 10.71737252, -18.5690048 ])"
515,0,"array([8.96701341, 1.24345418])"
516,0,"array([20.41293845, -5.69596208])"
517,1,"array([44.01156639, 10.10968861])"
518,0,"array([ 9.39752616, 17.51287152])"
519,0,"array([9.51704207, 4.2848996 ])"
520,0,"array([5.31673308, 5.42502051])"
521,0,"array([2.28218475, 9.48045643])"
522,0,"array([19.56680105, -0.59936986])"
523,0,"array([10.5325568 ,  3.88438391])"
524,0,"array([2.39291685, 9.09363524])"
525,0,"array([ 9.25845811, -1.58520275])"
526,0,"array([7.7472887 , 3.07649475])"
527,1,"array([9.1995647 , 8.09605125])"
528,0,"array([  4.42928258, -11.19567201])"
529,1,"array([18.71937725, 12.45681623])"
530,0,"array([16.94976523, 11.51003984])"
531,0,"array([ 7.14860268, -9.72123801])"
532,0,"array([6.34683338, 1.25617705])"
533,1,"array([35.1981621 , -7.22595175])"
534,0,"array([31.1862817 , -7.01204393])"
535,0,"array([-0.05488948, -4.51207764])"
536,0,"array([ 8.0261648 , -5.42416632])"
537,0,"array([ 15.40090988, -10.88620288])"
538,0,"array([13.78764711,  0.50081426])"
539,0,"array([7.69332279, 5.32252173])"
540,0,"array([15.00159053, -4.17377838])"
541,0,"array([11.14441189,  2.33415594])"
542,0,"array([20.21791837,  9.85523379])"
543,1,"array([ 25.26655046, 101.92002987])"
544,0,"array([ 25.9383577 , 102.52778238])"
545,1,"array([7.38996497, 1.81922347])"
546,1,"array([ 27.1974161 , -12.33599527])"
547,0,"array([25.90174804, -8.58487025])"
548,0,"array([4.92789647, 5.57583744])"
549,0,"array([13.42808592, -4.01371533])"
550,1,"array([  6.55280178, -31.9912183 ])"
551,0,"array([13.82760316, -2.98731076])"
552,0,"array([14.76270596, -2.34893909])"
553,1,"array([11.90092245, -8.60807544])"
554,0,"array([ 5.99136597, -2.73258136])"
555,0,"array([ 8.42666951, -2.96092031])"
556,0,"array([ 1.87044193, -9.12001602])"
557,1,"array([17.32793657,  7.27311122])"
558,0,"array([18.44232588, 12.73192578])"
559,0,"array([10.61340275,  0.75850374])"
560,0,"array([25.95570905,  2.31654519])"
561,1,"array([ 14.41794981, -10.0968735 ])"
562,0,"array([ 14.45874867, -12.38889802])"
563,1,"array([ 6.67486043, 11.07601103])"
564,1,"array([4.41496705, 1.05194575])"
565,0,"array([-0.83535021,  3.18874586])"
566,0,"array([11.52442132, -5.72757035])"
567,0,"array([ 7.99537667, -2.23123109])"
568,0,"array([ 1.63995315, -4.98509588])"
569,0,"array([7.84449826, 3.33128707])"
570,0,"array([12.44772616,  4.85872527])"
571,0,"array([40.55666386,  6.75512126])"
572,0,"array([15.34630929, -8.42413376])"
573,0,"array([ 1.90369103, -8.25047345])"
574,0,"array([  6.10374861, -14.10293522])"
575,0,"array([9.47275456, 4.00871036])"
576,1,"array([ 4.39744389, -5.66299888])"
577,0,"array([12.44457138, -3.42959251])"
578,1,"array([18.98482368, -8.11357965])"
579,0,"array([17.16916395, -5.0626188 ])"
580,1,"array([14.05768521,  2.61990572])"
581,1,"array([18.41170649, -5.62896939])"
582,0,"array([24.46650958, -7.38829809])"
583,1,"array([12.32579721, -6.79703145])"
584,1,"array([11.5087794 , -2.78768533])"
585,0,"array([10.67862055, -5.52108661])"
586,0,"array([-0.50791499,  3.71960096])"
587,1,"array([13.01128255, -6.47654794])"
588,0,"array([13.79344351, -4.4740162 ])"
589,0,"array([ 9.92188705, -3.8895161 ])"
590,0,"array([  5.85787352, -35.55211303])"
591,0,"array([14.28639431,  0.90192664])"
592,0,"array([8.79734778, 8.49966948])"
593,1,"array([5.55174128, 1.93738622])"
594,0,"array([0.4658687 , 4.58024457])"
595,0,"array([9.07057819, 3.88571139])"
596,1,"array([ 7.42852732, -6.00886432])"
597,0,"array([12.3997453 , -7.27158839])"
598,1,"array([20.48735583,  2.50679275])"
599,0,"array([25.76144263,  3.66264024])"
600,0,"array([8.19178102, 7.28126778])"
601,0,"array([5.77437293, 6.18343221])"
602,1,"array([12.41885761,  7.08736045])"
603,1,"array([  8.77526633, -12.79265884])"
