strategy,strategy_name,vertex_index,metric,start,vaccine_fraction,max_steps,saved_at_utc
1,DEGREE,4797,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5389,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5978,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6278,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6546,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6863,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,6943,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7301,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9022,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9063,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,9961,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11443,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,12633,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,13414,42.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,195,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,634,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,840,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1062,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1377,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,4112,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5691,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,5914,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7676,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,7913,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,8292,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11057,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11240,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,11467,41.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,1897,40.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,2130,40.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3211,40.0,1000,0.1,-1,2025-10-25T10:12:30
1,DEGREE,3564,40.0,1000,0.1,-1,2025-10-25T10:12:30
